timestamp,pos_x_kp,pos_x_ki,pos_x_kd,pos_x_ff,pos_y_kp,pos_y_ki,pos_y_kd,pos_y_ff,pos_z_kp,pos_z_ki,pos_z_kd,pos_z_ff,pos_roll_kp,pos_roll_ki,pos_roll_kd,pos_roll_ff,pos_pitch_kp,pos_pitch_ki,pos_pitch_kd,pos_pitch_ff,pos_yaw_kp,pos_yaw_ki,pos_yaw_kd,pos_yaw_ff,vel_x_kp,vel_x_ki,vel_x_kd,vel_x_ff,vel_y_kp,vel_y_ki,vel_y_kd,vel_y_ff,vel_z_kp,vel_z_ki,vel_z_kd,vel_z_ff,vel_roll_kp,vel_roll_ki,vel_roll_kd,vel_roll_ff,vel_pitch_kp,vel_pitch_ki,vel_pitch_kd,vel_pitch_ff,vel_yaw_kp,vel_yaw_ki,vel_yaw_kd,vel_yaw_ff
2026-04-17 18:10:12,1.100000023841858,0.0,0.10000000149011612,0.0,10.0,1.0,0.30000001192092896,0.0,10.0,0.0,0.6000000238418579,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,0.20000000298023224,0.0,0.20000000298023224,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,9.0,0.10000000149011612,0.0,0.0,9.0,0.10000000149011612,0.0,0.0,10.0,0.10000000149011612,3.0,-26.0,9.0,0.10000000149011612,2.0,0.0,25.0,0.10000000149011612,2.0,0.0,9.0,0.10000000149011612,2.0,0.0
2026-04-17 18:29:20,1.100000023841858,0.0,0.10000000149011612,0.0,10.0,1.0,0.30000001192092896,0.0,10.0,0.0,0.6000000238418579,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,0.20000000298023224,0.0,0.20000000298023224,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,9.0,0.10000000149011612,0.0,0.0,9.0,0.10000000149011612,0.0,0.0,10.0,0.10000000149011612,3.0,-26.0,9.0,0.10000000149011612,2.0,0.0,25.0,0.10000000149011612,2.0,0.0,9.0,0.10000000149011612,2.0,0.0
2026-04-17 19:12:58,1.100000023841858,0.0,0.10000000149011612,0.0,10.0,1.0,0.30000001192092896,0.0,10.0,0.0,0.6000000238418579,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,0.20000000298023224,0.0,0.20000000298023224,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,9.0,0.10000000149011612,0.0,0.0,9.0,0.10000000149011612,0.0,0.0,10.0,0.10000000149011612,3.0,-26.0,9.0,0.10000000149011612,2.0,0.0,25.0,0.10000000149011612,2.0,0.0,9.0,0.10000000149011612,2.0,0.0
2026-04-17 19:17:41,1.100000023841858,0.0,0.10000000149011612,0.0,10.0,1.0,0.30000001192092896,0.0,10.0,0.0,0.6000000238418579,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,0.20000000298023224,0.0,0.20000000298023224,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,9.0,0.10000000149011612,0.0,0.0,9.0,0.10000000149011612,0.0,0.0,10.0,0.10000000149011612,3.0,-26.0,9.0,0.10000000149011612,2.0,0.0,25.0,0.10000000149011612,2.0,0.0,9.0,0.10000000149011612,2.0,0.0
2026-04-17 21:33:23,1.100000023841858,0.0,0.10000000149011612,0.0,10.0,1.0,0.30000001192092896,0.0,10.0,0.0,0.6000000238418579,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,0.20000000298023224,0.0,0.20000000298023224,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,9.0,0.10000000149011612,0.0,0.0,9.0,0.10000000149011612,0.0,0.0,10.0,0.10000000149011612,3.0,-26.0,9.0,0.10000000149011612,2.0,0.0,25.0,0.10000000149011612,2.0,0.0,9.0,0.10000000149011612,2.0,0.0
2026-04-17 21:34:24,1.100000023841858,0.0,0.10000000149011612,0.0,10.0,1.0,0.30000001192092896,0.0,10.0,0.0,0.6000000238418579,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,0.20000000298023224,0.0,0.20000000298023224,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,9.0,0.10000000149011612,0.0,0.0,9.0,0.10000000149011612,0.0,0.0,10.0,0.10000000149011612,3.0,-26.0,9.0,0.10000000149011612,2.0,0.0,25.0,0.10000000149011612,2.0,0.0,9.0,0.10000000149011612,2.0,0.0
2026-04-17 21:36:35,1.100000023841858,0.0,0.10000000149011612,0.0,10.0,1.0,0.30000001192092896,0.0,10.0,0.0,0.6000000238418579,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,0.20000000298023224,0.0,0.20000000298023224,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,9.0,0.10000000149011612,0.0,0.0,9.0,0.10000000149011612,0.0,0.0,10.0,0.10000000149011612,3.0,-26.0,9.0,0.10000000149011612,2.0,0.0,25.0,0.10000000149011612,2.0,0.0,9.0,0.10000000149011612,2.0,0.0
2026-04-17 22:34:34,1.100000023841858,0.0,0.10000000149011612,0.0,10.0,1.0,0.30000001192092896,0.0,10.0,0.0,0.6000000238418579,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,0.20000000298023224,0.0,0.20000000298023224,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,9.0,0.10000000149011612,0.0,0.0,9.0,0.10000000149011612,0.0,0.0,10.0,0.10000000149011612,3.0,-26.0,9.0,0.10000000149011612,2.0,0.0,25.0,0.10000000149011612,2.0,0.0,9.0,0.10000000149011612,2.0,0.0
2026-04-17 22:34:41,1.100000023841858,0.0,0.10000000149011612,0.0,10.0,1.0,0.30000001192092896,0.0,10.0,0.0,0.6000000238418579,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,0.20000000298023224,0.0,0.20000000298023224,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,9.0,0.10000000149011612,0.0,0.0,9.0,0.10000000149011612,0.0,0.0,10.0,0.10000000149011612,3.0,-26.0,9.0,0.10000000149011612,2.0,0.0,25.0,0.10000000149011612,2.0,0.0,9.0,0.10000000149011612,2.0,0.0
2026-04-18 16:21:38,1.100000023841858,0.0,0.10000000149011612,0.0,10.0,1.0,0.30000001192092896,0.0,10.0,0.0,0.6000000238418579,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,0.20000000298023224,0.0,0.20000000298023224,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,9.0,0.10000000149011612,0.0,0.0,9.0,0.10000000149011612,0.0,0.0,10.0,0.10000000149011612,3.0,-26.0,9.0,0.10000000149011612,2.0,0.0,25.0,0.10000000149011612,2.0,0.0,9.0,0.10000000149011612,2.0,0.0
2026-04-18 16:29:42,1.100000023841858,0.0,0.10000000149011612,0.0,10.0,1.0,0.30000001192092896,0.0,10.0,0.0,0.6000000238418579,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,0.20000000298023224,0.0,0.20000000298023224,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,9.0,0.10000000149011612,0.0,0.0,9.0,0.10000000149011612,0.0,0.0,10.0,0.10000000149011612,3.0,-26.0,9.0,0.10000000149011612,2.0,0.0,25.0,0.10000000149011612,2.0,0.0,9.0,0.10000000149011612,2.0,0.0
2026-04-18 16:48:44,1.100000023841858,0.0,0.10000000149011612,0.0,10.0,1.0,0.30000001192092896,0.0,10.0,0.0,0.6000000238418579,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,0.20000000298023224,0.0,0.20000000298023224,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,9.0,0.10000000149011612,0.0,0.0,9.0,0.10000000149011612,0.0,0.0,10.0,0.10000000149011612,3.0,-26.0,9.0,0.10000000149011612,2.0,0.0,25.0,0.10000000149011612,2.0,0.0,9.0,0.10000000149011612,2.0,0.0
2026-04-18 16:48:48,1.100000023841858,0.0,0.10000000149011612,0.0,10.0,1.0,0.30000001192092896,0.0,10.0,0.0,0.6000000238418579,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,0.20000000298023224,0.0,0.20000000298023224,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,9.0,0.10000000149011612,0.0,0.0,9.0,0.10000000149011612,0.0,0.0,10.0,0.10000000149011612,3.0,-26.0,9.0,0.10000000149011612,2.0,0.0,25.0,0.10000000149011612,2.0,0.0,9.0,0.10000000149011612,2.0,0.0
2026-04-18 16:50:27,1.100000023841858,0.0,0.10000000149011612,0.0,10.0,1.0,0.30000001192092896,0.0,10.0,0.0,0.6000000238418579,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,0.20000000298023224,0.0,0.20000000298023224,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,9.0,0.10000000149011612,0.0,0.0,9.0,0.10000000149011612,0.0,0.0,10.0,0.10000000149011612,3.0,-26.0,9.0,0.10000000149011612,2.0,0.0,25.0,0.10000000149011612,2.0,0.0,9.0,0.10000000149011612,2.0,0.0
2026-04-18 16:50:33,1.100000023841858,0.0,0.10000000149011612,0.0,10.0,1.0,0.30000001192092896,0.0,10.0,0.0,0.6000000238418579,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,0.20000000298023224,0.0,0.20000000298023224,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,9.0,0.10000000149011612,0.0,0.0,9.0,0.10000000149011612,0.0,0.0,10.0,0.10000000149011612,3.0,-26.0,9.0,0.10000000149011612,2.0,0.0,25.0,0.10000000149011612,2.0,0.0,9.0,0.10000000149011612,2.0,0.0
2026-04-18 16:50:48,1.100000023841858,0.0,0.10000000149011612,0.0,10.0,1.0,0.30000001192092896,0.0,10.0,0.0,0.6000000238418579,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,0.20000000298023224,0.0,0.20000000298023224,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,9.0,0.10000000149011612,0.0,0.0,9.0,0.10000000149011612,0.0,0.0,10.0,0.10000000149011612,3.0,-26.0,9.0,0.10000000149011612,2.0,0.0,25.0,0.10000000149011612,2.0,0.0,9.0,0.10000000149011612,2.0,0.0
2026-04-18 16:51:15,1.100000023841858,0.0,0.10000000149011612,0.0,10.0,1.0,0.30000001192092896,0.0,10.0,0.0,0.6000000238418579,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,0.20000000298023224,0.0,0.20000000298023224,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,9.0,0.10000000149011612,0.0,0.0,9.0,0.10000000149011612,0.0,0.0,10.0,0.10000000149011612,3.0,-26.0,9.0,0.10000000149011612,2.0,0.0,25.0,0.10000000149011612,2.0,0.0,9.0,0.10000000149011612,2.0,0.0
2026-04-18 16:57:02,1.100000023841858,0.0,0.10000000149011612,0.0,10.0,1.0,0.30000001192092896,0.0,10.0,0.0,0.6000000238418579,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,0.20000000298023224,0.0,0.20000000298023224,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,9.0,0.10000000149011612,0.0,0.0,9.0,0.10000000149011612,0.0,0.0,10.0,0.10000000149011612,3.0,-26.0,9.0,0.10000000149011612,2.0,0.0,25.0,0.10000000149011612,2.0,0.0,9.0,0.10000000149011612,2.0,0.0
2026-04-18 16:57:38,1.100000023841858,0.0,0.10000000149011612,0.0,10.0,1.0,0.30000001192092896,0.0,10.0,0.0,0.6000000238418579,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,0.20000000298023224,0.0,0.20000000298023224,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,9.0,0.10000000149011612,0.0,0.0,9.0,0.10000000149011612,0.0,0.0,10.0,0.10000000149011612,3.0,-26.0,9.0,0.10000000149011612,2.0,0.0,25.0,0.10000000149011612,2.0,0.0,9.0,0.10000000149011612,2.0,0.0
2026-04-18 17:06:18,1.100000023841858,0.0,0.10000000149011612,0.0,10.0,1.0,0.30000001192092896,0.0,10.0,0.0,0.6000000238418579,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,0.20000000298023224,0.0,0.20000000298023224,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,9.0,0.10000000149011612,0.0,0.0,9.0,0.10000000149011612,0.0,0.0,10.0,0.10000000149011612,3.0,-26.0,9.0,0.10000000149011612,2.0,0.0,25.0,0.10000000149011612,2.0,0.0,9.0,0.10000000149011612,2.0,0.0
2026-04-18 17:06:40,1.100000023841858,0.0,0.10000000149011612,0.0,10.0,1.0,0.30000001192092896,0.0,10.0,0.0,0.6000000238418579,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,0.20000000298023224,0.0,0.20000000298023224,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,9.0,0.10000000149011612,0.0,0.0,9.0,0.10000000149011612,0.0,0.0,10.0,0.10000000149011612,3.0,-26.0,9.0,0.10000000149011612,2.0,0.0,25.0,0.10000000149011612,2.0,0.0,9.0,0.10000000149011612,2.0,0.0
2026-04-18 17:09:01,1.100000023841858,0.0,0.10000000149011612,0.0,10.0,1.0,0.30000001192092896,0.0,10.0,0.0,0.6000000238418579,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,0.20000000298023224,0.0,0.20000000298023224,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,9.0,0.10000000149011612,0.0,0.0,9.0,0.10000000149011612,0.0,0.0,10.0,0.10000000149011612,3.0,-26.0,9.0,0.10000000149011612,2.0,0.0,25.0,0.10000000149011612,2.0,0.0,9.0,0.10000000149011612,2.0,0.0
2026-04-18 17:09:37,1.100000023841858,0.0,0.10000000149011612,0.0,10.0,1.0,0.30000001192092896,0.0,10.0,0.0,0.6000000238418579,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,0.20000000298023224,0.0,0.20000000298023224,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,9.0,0.10000000149011612,0.0,0.0,9.0,0.10000000149011612,0.0,0.0,10.0,0.10000000149011612,3.0,-26.0,9.0,0.10000000149011612,2.0,0.0,25.0,0.10000000149011612,2.0,0.0,9.0,0.10000000149011612,2.0,0.0
2026-04-18 17:11:27,1.100000023841858,0.0,0.10000000149011612,0.0,10.0,1.0,0.30000001192092896,0.0,10.0,0.0,0.6000000238418579,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,0.20000000298023224,0.0,0.20000000298023224,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,9.0,0.10000000149011612,0.0,0.0,9.0,0.10000000149011612,0.0,0.0,10.0,0.10000000149011612,3.0,-26.0,9.0,0.10000000149011612,2.0,0.0,25.0,0.10000000149011612,2.0,0.0,9.0,0.10000000149011612,2.0,0.0
2026-04-18 17:15:04,1.100000023841858,0.0,0.10000000149011612,0.0,10.0,1.0,0.30000001192092896,0.0,10.0,0.0,0.6000000238418579,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,0.20000000298023224,0.0,0.20000000298023224,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,9.0,0.10000000149011612,0.0,0.0,9.0,0.10000000149011612,0.0,0.0,10.0,0.10000000149011612,3.0,-26.0,9.0,0.10000000149011612,2.0,0.0,25.0,0.10000000149011612,2.0,0.0,9.0,0.10000000149011612,2.0,0.0
2026-04-18 17:15:17,1.100000023841858,0.0,0.10000000149011612,0.0,10.0,1.0,0.30000001192092896,0.0,10.0,0.0,0.6000000238418579,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,0.20000000298023224,0.0,0.20000000298023224,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,9.0,0.10000000149011612,0.0,0.0,9.0,0.10000000149011612,0.0,0.0,10.0,0.10000000149011612,3.0,-26.0,9.0,0.10000000149011612,2.0,0.0,25.0,0.10000000149011612,2.0,0.0,9.0,0.10000000149011612,2.0,0.0
2026-04-18 17:15:24,1.100000023841858,0.0,0.10000000149011612,0.0,10.0,1.0,0.30000001192092896,0.0,10.0,0.0,0.6000000238418579,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,0.20000000298023224,0.0,0.20000000298023224,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,9.0,0.10000000149011612,0.0,0.0,9.0,0.10000000149011612,0.0,0.0,10.0,0.10000000149011612,3.0,-26.0,9.0,0.10000000149011612,2.0,0.0,25.0,0.10000000149011612,2.0,0.0,9.0,0.10000000149011612,2.0,0.0
2026-04-18 17:15:47,1.100000023841858,0.0,0.10000000149011612,0.0,10.0,1.0,0.30000001192092896,0.0,10.0,0.0,0.6000000238418579,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,0.20000000298023224,0.0,0.20000000298023224,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,9.0,0.10000000149011612,0.0,0.0,9.0,0.10000000149011612,0.0,0.0,10.0,0.10000000149011612,3.0,-26.0,9.0,0.10000000149011612,2.0,0.0,25.0,0.10000000149011612,2.0,0.0,9.0,0.10000000149011612,2.0,0.0
2026-04-18 17:16:36,1.100000023841858,0.0,0.10000000149011612,0.0,10.0,1.0,0.30000001192092896,0.0,10.0,0.0,0.6000000238418579,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,0.20000000298023224,0.0,0.20000000298023224,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,9.0,0.10000000149011612,0.0,0.0,9.0,0.10000000149011612,0.0,0.0,10.0,0.10000000149011612,3.0,-26.0,9.0,0.10000000149011612,2.0,0.0,25.0,0.10000000149011612,2.0,0.0,9.0,0.10000000149011612,2.0,0.0
2026-04-18 17:23:57,1.100000023841858,0.0,0.10000000149011612,0.0,10.0,1.0,0.30000001192092896,0.0,10.0,0.0,0.6000000238418579,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,0.20000000298023224,0.0,0.20000000298023224,0.0,1.100000023841858,0.0,0.10000000149011612,0.0,9.0,0.10000000149011612,0.0,0.0,9.0,0.10000000149011612,0.0,0.0,10.0,0.10000000149011612,3.0,-26.0,9.0,0.10000000149011612,2.0,0.0,25.0,0.10000000149011612,2.0,0.0,9.0,0.10000000149011612,2.0,0.0
